lot_id,production_number,product_name,line,spec_id,parameter_name,parameter_scope,check_type,severity,check_result,sample_count,valid_count,violation_count,violation_ratio,min,max,mean,std,lower_limit,upper_limit,target_value,unit,checklist_item,sop_hint,manager_alert_rule,note
LOT-20260420-L1-001,WO-20260420-001,1,L1,SPEC-P1-001,Running Speed,line,range,warning,warning,155,155,148,0.9548387096774194,0.0,2.2,0.09935483870967741,0.44511640727451735,1.8,2.6,2.2,m/min,确认产品1运行速度处于设定范围,按产品1作业指导确认速度设定。,no,
LOT-20260420-L1-001,WO-20260420-001,1,L1,SPEC-P1-002,ED(1) Current,line,range,critical,fail,9,9,3,0.3333333333333333,0.0,30.0,20.0,14.142135623730951,28.0,32.0,30.0,A,确认产品1 ED(1) 电流处于工艺范围,如电流偏离，请确认整流器设定与夹具接触状态。,yes,applied active filter: Running Speed > 0.1; kept 9/155 samples
LOT-20260420-L1-001,WO-20260420-001,1,L1,SPEC-P1-003,ED(1) Voltage,line,range,warning,warning,9,9,3,0.3333333333333333,0.0,11.78,7.767777777777779,5.49287776787719,11.0,12.5,11.8,V,确认产品1 ED(1) 电压稳定,如电压波动，请确认槽液状态和导电接触。,no,applied active filter: Running Speed > 0.1; kept 9/155 samples
LOT-20260420-L1-001,WO-20260420-001,1,L1,SPEC-P1-004,Ag Strike(1) Current,line,range,critical,fail,9,9,3,0.3333333333333333,0.0,10.0,6.666666666666667,4.714045207910317,8.0,12.0,10.0,A,确认产品1 Ag Strike 电流符合要求,首件和换批时重点确认 Ag Strike 电流。,yes,applied active filter: Running Speed > 0.1; kept 9/155 samples
LOT-20260420-L1-001,WO-20260420-001,1,L1,SPEC-P1-005,device_DI(1) Pressure,device,range,critical,pass,155,155,0,0.0,0.910311,1.190467,1.0949341677419353,0.03728031494620173,0.9,1.3,1.1,MPa,确认 DI(1) 压力稳定,如压力低于下限，请检查供液/过滤系统。,yes,
LOT-20260420-L1-001,WO-20260420-001,1,L1,SPEC-P1-006,device_Ag Spot pH,device,range,warning,pass,155,155,0,0.0,7.23014,7.27079,7.242194774193548,0.00864401437247717,7.2,7.35,7.25,pH,确认 Ag Spot pH 在控制范围,如 pH 变动，请联系工艺确认药液状态。,no,
LOT-20260421-L2-001,WO-20260421-001,3,L2,SPEC-P3-001,Running Speed,line,range,warning,warning,58,58,52,0.896551724137931,0.5,6.1,3.186206896551724,1.1575015120064704,5.5,6.3,6.0,m/min,确认产品3运行速度符合要求,速度偏离时记录是否有人工调速。,no,applied active filter: Running Speed > 0.1; kept 58/197 samples
LOT-20260421-L2-001,WO-20260421-001,3,L2,SPEC-P3-002,ED(1) Current,line,range,critical,fail,58,58,17,0.29310344827586204,0.0,30.0,21.20689655172414,13.65556425770078,28.0,32.0,30.0,A,确认产品3 ED(1) 电流处于工艺范围,电流异常时应检查整流器与夹具。,yes,applied active filter: Running Speed > 0.1; kept 58/197 samples
LOT-20260421-L2-001,WO-20260421-001,3,L2,SPEC-P3-003,ED(1) Voltage,line,range,warning,warning,58,58,28,0.4827586206896552,0.0,14.53,9.97396551724138,6.429159847416963,13.8,15.0,14.3,V,确认产品3 ED(1) 电压稳定,电压波动时需复核槽液状态。,no,applied active filter: Running Speed > 0.1; kept 58/197 samples
LOT-20260421-L2-001,WO-20260421-001,3,L2,SPEC-P3-004,Ag Strike(1) Current,line,range,critical,fail,58,58,17,0.29310344827586204,0.0,10.0,7.068965517241379,4.551854752566925,8.0,12.0,10.0,A,确认产品3 Ag Strike 电流符合要求,Ag Strike 是产品3重点点检项。,yes,applied active filter: Running Speed > 0.1; kept 58/197 samples
LOT-20260421-L2-001,WO-20260421-001,3,L2,SPEC-P3-005,device_RO(1) Pressure,device,range,warning,pass,197,197,0,0.0,5.892166,6.128496,5.981111,0.030848157499545253,5.8,6.2,6.0,bar,确认 RO(1) 压力稳定,如 RO 压力波动，请记录供水系统状态。,no,
LOT-20260421-L2-001,WO-20260421-001,3,L2,SPEC-P3-006,device_DI(1) Pressure,device,range,critical,fail,197,197,1,0.005076142131979695,0.984604,1.261647,1.0901650456852792,0.03784424662202665,0.95,1.25,1.1,MPa,确认 DI(1) 压力稳定,DI 压力异常可能影响清洗效果。,yes,
LOT-20260423-L1-001,WO-20260423-001,11,L1,SPEC-P11-001,Running Speed,line,range,warning,pass,183,183,0,0.0,5.8,6.3,5.9863387978142075,0.09906246289507889,5.7,6.4,6.0,m/min,确认产品11运行速度稳定,产品11作为稳定批次样例。,no,applied active filter: Running Speed > 0.1; kept 183/183 samples
LOT-20260423-L1-001,WO-20260423-001,11,L1,SPEC-P11-002,ED(1) Current,line,range,critical,pass,183,183,0,0.0,30.0,30.0,30.0,0.0,28.0,32.0,30.0,A,确认产品11 ED(1) 电流稳定,电流稳定性用于后续对比低良率批次。,yes,applied active filter: Running Speed > 0.1; kept 183/183 samples
LOT-20260423-L1-001,WO-20260423-001,11,L1,SPEC-P11-003,ED(1) Voltage,line,range,warning,pass,183,183,0,0.0,12.25,12.32,12.282513661202184,0.01759342212010367,12.0,12.6,12.3,V,确认产品11 ED(1) 电压稳定,电压稳定性用于生产窗口回放。,no,applied active filter: Running Speed > 0.1; kept 183/183 samples
LOT-20260423-L1-001,WO-20260423-001,11,L1,SPEC-P11-004,Ag Strike(1) Current,line,range,critical,pass,183,183,0,0.0,30.0,30.0,30.0,0.0,28.0,32.0,30.0,A,确认产品11 Ag Strike 电流稳定,确认 Ag Strike 阶段没有异常波动。,yes,applied active filter: Running Speed > 0.1; kept 183/183 samples
LOT-20260423-L1-001,WO-20260423-001,11,L1,SPEC-P11-005,Ag Strike(1) Voltage,line,range,warning,pass,183,183,0,0.0,5.09,5.18,5.128524590163934,0.019821834754349968,4.9,5.4,5.1,V,确认产品11 Ag Strike 电压稳定,电压偏离时记录现场调整。,no,applied active filter: Running Speed > 0.1; kept 183/183 samples
LOT-20260423-L1-001,WO-20260423-001,11,L1,SPEC-P11-006,device_Ag Spot pH,device,range,warning,pass,183,183,0,0.0,7.578851,7.939208,7.750668841530055,0.1060576991306499,7.5,8.0,7.75,pH,确认 Ag Spot pH 在控制范围,pH 稳定性作为质量追溯背景参数。,no,
LOT-20260425-L2-001,WO-20260425-001,4,L2,SPEC-P4-001,Running Speed,line,range,warning,warning,50,50,2,0.04,0.2,3.4,3.086,0.5979999999999996,2.8,3.6,3.2,m/min,确认产品4运行速度符合要求,产品4用于异常样例，重点观察速度中断。,no,applied active filter: Running Speed > 0.1; kept 50/185 samples
LOT-20260425-L2-001,WO-20260425-001,4,L2,SPEC-P4-002,ED(1) Current,line,range,critical,fail,50,50,5,0.1,0.0,30.0,27.0,9.0,28.0,32.0,30.0,A,确认产品4 ED(1) 电流处于工艺范围,电流偏离应触发主管关注。,yes,applied active filter: Running Speed > 0.1; kept 50/185 samples
LOT-20260425-L2-001,WO-20260425-001,4,L2,SPEC-P4-003,Ag Strike(1) Current,line,range,critical,fail,50,50,5,0.1,0.0,8.0,7.2,2.399999999999999,7.0,9.0,8.0,A,确认产品4 Ag Strike 电流处于工艺范围,Ag Strike 电流与镀层均匀性复盘相关。,yes,applied active filter: Running Speed > 0.1; kept 50/185 samples
LOT-20260425-L2-001,WO-20260425-001,4,L2,SPEC-P4-004,Ag Strike(1) Voltage,line,range,warning,warning,50,50,50,1.0,0.0,2.34,1.8214,0.6147194807389791,2.8,3.5,3.1,V,确认产品4 Ag Strike 电压稳定,电压波动时记录是否有人工干预。,no,applied active filter: Running Speed > 0.1; kept 50/185 samples
LOT-20260425-L2-001,WO-20260425-001,4,L2,SPEC-P4-005,device_DI(1) Pressure,device,range,critical,pass,185,185,0,0.0,0.974228,1.243385,1.0794154,0.04337692970072481,0.95,1.25,1.1,MPa,确认 DI(1) 压力稳定,DI 压力异常可能影响清洗质量。,yes,
LOT-20260425-L2-001,WO-20260425-001,4,L2,SPEC-P4-006,device_Ag Spot pH,device,range,warning,warning,185,185,17,0.0918918918918919,7.466789,7.869554,7.658054935135135,0.10365444037787207,7.5,7.85,7.7,pH,确认 Ag Spot pH 在控制范围,pH 偏离时建议复核药液状态。,no,
